id,address,occur,death_injury,death,s_injury,l_injury,lot,lat,year
0,서울특별시 강남구 도곡동(언주초교 부근),3,3,0,1,2,127.037893303934,37.486708581137,2017
1,서울특별시 강남구 역삼동(상지리츠빌1차 부근),3,4,0,0,4,127.045975123554,37.496469538439,2017
2,서울특별시 강북구 미아동(삼양시장오거리 부근),4,5,0,1,4,127.018489231994,37.625361789616,2017
3,서울특별시 노원구 상계동(홍파복지원앞사거리 부근),3,4,0,1,2,127.055620345304,37.680089771926,2017
4,서울특별시 노원구 중계동(중계그린아파트107동 부근),3,3,0,0,1,127.064001859499,37.642807276635,2017
5,서울특별시 서대문구 북가좌동(북가좌초교사거리 부근),3,3,0,1,2,126.909592837241,37.578056686468,2017
6,서울특별시 서초구 우면동(서초네이처힐 3단지 314동 부근),3,3,0,1,2,127.026947684989,37.462779155734,2017
7,서울특별시 서초구 방배동(방배초교입구사거리 부근),3,3,0,0,3,126.98613533358,37.486992605925,2017
8,서울특별시 송파구 방이동(방이초교 부근),4,4,0,1,2,127.120659888544,37.512218815047,2017
9,서울특별시 송파구 송파동(중대초교 부근),3,3,0,1,2,127.114239825409,37.5009626593,2017
10,서울특별시 양천구 신정동(수정아파트102동 부근),3,3,0,1,2,126.842230155398,37.512535978953,2017
11,부산광역시 동래구 낙민동(스펀지유치원 부근),3,3,0,0,2,129.096083828607,35.194318265776,2017
12,부산광역시 부산진구 당감동(당감초교 부근),3,3,0,1,2,129.040801902587,35.163392031218,2017
13,부산광역시 사상구 덕포동(모덕초교 부근),3,3,0,2,1,128.990453279596,35.181509379255,2017
14,부산광역시 사하구 장림동(은항교회 부근),3,3,0,2,1,128.977147858488,35.079982907986,2017
15,대구광역시 남구 봉덕동(봉덕초교 부근),4,4,0,2,2,128.598387532959,35.839775950701,2017
16,대구광역시 북구 동천동(함지초교 부근),6,6,0,2,3,128.557644939264,35.933779393405,2017
17,대구광역시 북구 동천동(영남네오빌아트103동 부근),3,3,0,0,3,128.560173916494,35.940643275568,2017
18,대구광역시 서구 평리동(서대구전화국사거리 부근),4,6,0,0,6,128.562944543357,35.87259074177,2017
19,대구광역시 서구 평리동(대우푸르지오1단지아파트입구 부근),3,3,0,0,3,128.559383493355,35.86980988332,2017
20,대구광역시 수성구 두산동(대구수성SK리더스뷰아파트입구 부근),3,3,1,2,0,128.622375771326,35.837685794964,2017
21,대구광역시 수성구 지산동(에덴테마어린이공원 부근),3,3,0,2,1,128.632355581346,35.821182476391,2017
22,대구광역시 수성구 파동(서민할매식당 부근),3,4,0,1,3,128.610867908828,35.825486354712,2017
23,대구광역시 수성구 만촌동(대청초교 부근),3,4,0,1,3,128.6520371445,35.850658021751,2017
24,인천광역시 남동구 만수동(담방로사거리 부근),3,4,0,1,2,126.738846914155,37.444158513805,2017
25,광주광역시 광산구 수완동(모아어린이집 부근),3,3,0,2,1,126.823868921115,35.188286174668,2017
26,광주광역시 광산구 신가동(신기중학교 부근),3,3,0,0,3,126.836868309226,35.187868357739,2017
27,광주광역시 북구 매곡동(대화아파트 부근),4,5,0,1,3,126.892275531492,35.192125059425,2017
