id,address,occur,death_injury,death,s_injury,l_injury,lot,lat,year
0,서울특별시 강남구 도곡동(언주초교 부근),3,4,0,3,0,127.036655539123,37.485658154101,2017
1,서울특별시 강동구 명일동(성덕고 부근),6,6,0,5,1,127.142911674535,37.550385739611,2017
2,서울특별시 강동구 암사동(CU암사중앙점 부근),5,5,0,4,1,127.128709399121,37.551295773482,2017
3,서울특별시 강동구 명일동(샛마을근린공원 부근),4,4,0,3,1,127.147096287465,37.549745213672,2017
4,서울특별시 강동구 길동(천동초교입구교차로 부근),4,4,0,3,1,127.14121201972,37.541004897859,2017
5,서울특별시 강동구 천호동(동신중 부근),4,4,0,1,2,127.134201002176,37.537224733436,2017
6,서울특별시 강동구 고덕동(상일동역1번출구 부근),3,3,2,1,0,127.164036550647,37.556471504957,2017
7,서울특별시 강동구 성내동(CU성내제일점 부근),3,4,0,1,3,127.131276284574,37.52892315548,2017
8,서울특별시 강북구 수유동(수유역 부근),8,10,0,4,6,127.025486985437,37.638095067434,2017
9,서울특별시 강북구 미아동(미아역 부근),6,11,0,4,7,127.026088300935,37.626084615214,2017
10,서울특별시 강북구 수유동(화계역 부근),6,6,0,3,3,127.01723494214,37.634204240534,2017
11,서울특별시 강북구 미아동(삼양사거리역 부근),5,5,0,2,3,127.020532171524,37.621256429442,2017
12,서울특별시 강북구 미아동(창문여고앞삼거리 부근),3,3,1,1,1,127.03742068142,37.612706648494,2017
13,서울특별시 강북구 수유동(광산사거리 부근),3,3,0,1,1,127.022447193284,37.643511104954,2017
14,서울특별시 강서구 방화동(신월초교입구교차로 부근),4,4,0,4,0,126.841619429394,37.540858064649,2017
15,서울특별시 강서구 화곡동(KEB하나은행공항로지점 부근),4,4,0,4,0,126.854331005672,37.555206771276,2017
16,서울특별시 강서구 염창동(염창역 부근),4,4,0,4,0,126.874065749336,37.547008465169,2017
17,서울특별시 강서구 공항동(송정역1번출구 부근),3,4,0,2,2,126.810946377375,37.561370078867,2017
18,서울특별시 강서구 화곡동(21세기국민약국 부근),3,3,0,1,1,126.858917022004,37.531971512776,2017
19,서울특별시 관악구 신림동(신림교 부근),7,7,0,3,1,126.929531442823,37.482115838776,2017
20,서울특별시 관악구 신림동(난곡새마을금고본점 부근),5,5,0,3,2,126.919955127128,37.474308521022,2017
21,서울특별시 관악구 신림동(미가할매집 부근),4,4,1,3,0,126.928617792778,37.48778856619,2017
22,서울특별시 관악구 봉천동(봉천역 부근),4,4,0,3,1,126.942099210311,37.482339131447,2017
23,서울특별시 관악구 봉천동(서울대입구역 부근),4,4,0,0,4,126.950918269863,37.481353553625,2017
24,서울특별시 관악구 신림동(신림현대아파트교차로 부근),3,4,0,3,1,126.909574171812,37.485350276595,2017
25,서울특별시 관악구 신림동(금천경찰서 부근),2,2,1,1,0,126.909605125577,37.481043881971,2017
26,서울특별시 광진구 중곡동(신성골목시장 부근),5,7,0,0,6,127.089346387927,37.557918254225,2017
27,서울특별시 광진구 군자동(화양사거리 부근),4,4,0,1,2,127.068174562707,37.548267730073,2017
28,서울특별시 광진구 구의동(슬기유치원 부근),3,3,0,1,2,127.091983600364,37.551282738708,2017
29,서울특별시 구로구 구로동(신구로자이주상복합 부근),4,4,1,2,1,126.884081063691,37.499625077836,2017
30,서울특별시 구로구 구로동(킴스안경클럽 부근),4,4,1,1,2,126.884704243507,37.488478390266,2017
31,서울특별시 구로구 개봉동(GS25개봉당곡점 부근),4,4,0,4,0,126.854770756167,37.488123312742,2017
32,서울특별시 구로구 개봉동(경인중 부근),3,3,1,2,0,126.853557630082,37.497730077682,2017
33,서울특별시 구로구 가리봉동(블루핸즈공단서비스센타 부근),3,3,0,3,0,126.887429257655,37.481496153725,2017
34,서울특별시 구로구 오류동(오류동역앞교차로 부근),3,3,0,3,0,126.843534063547,37.496120907255,2017
35,서울특별시 구로구 개봉동(개봉1동사거리 부근),2,2,1,1,0,126.846696838889,37.501538572548,2017
36,서울특별시 금천구 시흥동(에벤에셀프라자아파트 부근),6,6,0,3,2,126.910086887001,37.450624132998,2017
37,서울특별시 금천구 시흥동(시흥사거리 부근),4,4,0,2,2,126.901589325188,37.454350976617,2017
38,서울특별시 금천구 시흥동(세븐일레븐시흥초교점 부근),4,4,0,2,2,126.905723576983,37.456273710065,2017
39,서울특별시 노원구 상계동(우물집원조추어탕순대국 부근),4,4,0,3,1,127.08204080554,37.671234804244,2017
40,서울특별시 노원구 상계동(수락산역4번출구 부근),4,4,0,3,1,127.05578865972,37.675873295117,2017
41,서울특별시 노원구 상계동(한국전력공사노원도봉지사 부근),3,4,2,1,1,127.054960268103,37.654506104774,2017
42,서울특별시 노원구 공릉동(배꽃나라주유소 부근),3,3,1,1,1,127.079106421126,37.618559175566,2017
43,서울특별시 노원구 공릉동(공릉볼링센타 부근),3,3,0,2,1,127.075653969656,37.621516732812,2017
44,서울특별시 도봉구 창동(창동지하차도 부근),4,4,1,1,2,127.048000341044,37.652122928331,2017
45,서울특별시 도봉구 도봉동(도봉산역1번출구 부근),4,4,0,3,1,127.045601952569,37.6888743128,2017
46,서울특별시 도봉구 쌍문동(숭미파출소사거리 부근),3,3,0,2,1,127.025790777324,37.647362032533,2017
47,서울특별시 도봉구 창동(신창교 부근),3,3,0,1,2,127.039525191236,37.633776478902,2017
48,서울특별시 도봉구 도봉동(도봉역2번출구 부근),2,2,1,0,1,127.045185479228,37.677499323336,2017
49,서울특별시 동대문구 제기동(왕산로29길 부근),11,11,0,4,7,127.040836917191,37.579890114538,2017
50,서울특별시 동대문구 신설동(신삼송빌딩앞 부근),10,10,0,1,8,127.023283661713,37.573981677513,2017
51,서울특별시 동대문구 전농동(청량리역사거리 부근),9,9,0,6,3,127.045891563046,37.580792611191,2017
52,서울특별시 동대문구 제기동(KB국민은행홍릉지점 부근),6,6,0,6,0,127.0413870145,37.586682021259,2017
53,서울특별시 동대문구 전농동(성모온누리약국 부근),5,6,4,1,1,127.044041772711,37.578016284425,2017
54,서울특별시 동대문구 제기동(제기동역1번출구 부근),5,5,1,2,2,127.033958891391,37.578288994842,2017
55,서울특별시 동대문구 장안동(배봉초교사거리 부근),4,4,1,0,3,127.068740601399,37.578692533235,2017
56,서울특별시 동대문구 회기동(IBK기업은행회기역지점 부근),4,5,0,4,1,127.055911210335,37.589964659143,2017
