id,address,occur,death_injury,death,s_injury,l_injury,lot,lat,year
0,서울특별시 강동구 상일동(HTH택배앞 인근),5,13,0,0,12,127.182591266875,37.542259081592,2017
1,대구광역시 서구 상리동(상리동종점 인근),4,6,0,0,6,128.525936958225,35.884897544887,2017
2,인천광역시 계양구 용종동(계양IC남측본선 부근),5,5,0,0,5,126.749807775709,37.540735318881,2017
3,경기도 고양시 덕양구 원흥동(원흥주유소앞 부근),4,11,1,2,8,126.869249819525,37.637435343667,2017
4,경기도 구리시 수택동(구리TG 부근),7,10,0,1,9,127.157546943837,37.590321323971,2017
5,경기도 김포시 고촌읍(신곡리9525 부근),6,15,0,0,15,126.767749051778,37.592782998637,2017
6,경기도 남양주시 진건읍(양주골화로구이앞 부근),5,15,0,4,11,127.172086100794,37.658495190701,2017
7,경기도 남양주시 오남읍(진주아파트 부근),5,9,0,3,6,127.212387400759,37.688741053058,2017
8,경기도 남양주시 화도읍(중흥S클래식빌앞 부근),5,10,0,1,9,127.301901395434,37.657991448048,2017
9,경기도 남양주시 이패동(한성수출포장 부근),5,18,0,0,17,127.188530164836,37.608749581129,2017
10,경기도 성남시 분당구 분당동(정자지하차도1 부근),9,41,0,7,29,127.10315279077,37.361745165808,2017
11,경기도 성남시 분당구 삼평동(판교JC남측경부선본선 부근),6,6,0,0,6,127.097275442409,37.402846199593,2017
12,경기도 성남시 분당구 궁내동(정자지하차도앞 부근),5,13,0,4,9,127.103759242296,37.366677756574,2017
13,경기도 성남시 분당구 삼평동(금토교 인근),5,8,0,1,6,127.094651521951,37.405846024975,2017
14,경기도 성남시 수정구 금토동(옛골토성 인근),5,42,0,6,34,127.066501463972,37.433537271329,2017
15,경기도 수원시 영통구 망포동(동수원IC남측본선 부근),4,7,0,1,5,127.047605875911,37.301261135694,2017
16,경기도 수원시 팔달구 매산로1가(수원역남단교차로 부근),4,4,0,0,4,127.0010793941,37.266046105344,2017
17,경기도 안산시 단원구 고잔동(중앙역사거리 부근),4,6,0,1,5,126.836897526401,37.316700280195,2017
18,경기도 안산시 단원구 와동(화랑초교사거리 부근),4,8,0,0,7,126.817556014,37.33142696918,2017
19,경기도 안산시 상록구 부곡동(안산JC서측영동선본선 부근),4,17,0,1,12,126.854982319879,37.345820981854,2017
20,경기도 안성시 공도읍(안성IC남측본선 부근),4,24,0,9,15,127.15564730498,36.990528026248,2017
21,경기도 오산시 원동(오산IC남측본선 부근),4,9,0,3,4,127.085303422716,37.14082332104,2017
22,경기도 용인시 기흥구 보라동(상갈신도시주유소앞 부근),6,10,0,0,8,127.103722781083,37.2598855218,2017
23,경기도 용인시 기흥구 공세동(만도중앙연구소앞 부근),4,28,0,6,11,127.104950486976,37.227560911608,2017
24,경기도 용인시 기흥구 보정동(평가선교원앞 부근),4,16,0,4,12,127.103981149112,37.252108220719,2017
25,경기도 용인시 기흥구 상갈동(수원IC북측본선 부근),4,11,0,3,8,127.103646325219,37.267804037128,2017
26,경기도 용인시 처인구 김량장동(용인중교앞 부근),4,6,0,2,4,127.203426329263,37.23661009598,2017
27,경기도 의왕시 내손동(계원조형예술전문대학 부근),4,6,0,1,4,126.982223181955,37.381044810271,2017
28,경기도 파주시 법원읍(현대당구클럽 부근),4,10,0,1,8,126.8729963538,37.849273524954,2017
29,경기도 평택시 월곡동(안성JC남측경부선본선 부근),6,18,0,2,11,127.141571853759,37.025335911024,2017
30,경기도 포천시 소흘읍(부인터사거리 부근),6,9,0,1,7,127.131939058842,37.8054642179,2017
31,경기도 하남시 상산곡동(천현교 부근),4,7,0,2,5,127.221668262182,37.51763877541,2017
32,경기도 화성시 향남읍(제암삼거리 부근),4,4,0,3,1,126.905223501764,37.125543812498,2017
33,경기도 화성시 동탄면(동탄4동1 부근),4,15,0,1,13,127.094514951805,37.199645207961,2017
34,경기도 화성시 팔탄면(한국도로공사 화성지사 부근),4,11,0,1,9,126.883980498802,37.118647712123,2017
35,강원도 강릉시 성산면(강릉요금소 부근),4,7,0,3,4,128.84702211428,37.746595310826,2017
36,강원도 원주시 단계동(발리이용원 부근),4,8,0,1,7,127.932338626028,37.343800435443,2017
37,강원도 철원군 갈말읍(6.25참전기념비 부근),4,10,0,1,9,127.307529435536,38.184432561115,2017
38,강원도 평창군 봉평면(국립횡성 숲체원 인근),4,14,0,1,13,128.29216451728,37.532823257988,2017
39,충청북도 진천군 문백면(백곡천교 부근),4,14,0,1,13,127.494011072554,36.837940266931,2017
40,충청남도 천안시 동남구 신부동(천안IC 부근),4,8,0,3,5,127.166947190262,36.826425578579,2017
41,전라남도 영광군 영광읍(만곡사거리 부근),4,8,0,1,7,126.458640829312,35.284861709901,2017
42,경상북도 경산시 중산동(중산삼거리 부근),4,8,0,2,6,128.722414842172,35.835032863277,2017
43,경상북도 경산시 하양읍(경동정보대2 부근),4,5,0,0,5,128.803782328093,35.900792411841,2017
44,경상북도 고령군 성산면(기족리노인회관 부근),4,19,2,8,9,128.343187595832,35.749269653073,2017
45,경상남도 거창군 거창읍(거창IC입구서측 부근),4,5,0,1,4,127.926525286014,35.676938985846,2017
46,경상남도 함안군 칠원읍(신동세창종합식품기계 부근),4,16,0,5,11,128.541280939165,35.288198494166,2017
47,제주특별자치도 서귀포시 서홍동(한남투자 부근),9,15,0,6,6,126.561279356358,33.252511138479,2017
48,제주특별자치도 제주시 일도이동(인제사거리 부근),9,15,0,4,10,126.540512194583,33.507146735734,2017
49,제주특별자치도 제주시 노형동(노형오거리 부근),8,12,0,5,6,126.479669266624,33.486029377954,2017
50,제주특별자치도 제주시 용담이동(공항입구1 부근),8,12,0,4,5,126.49658213286,33.505524302106,2017
51,제주특별자치도 제주시 연동(코레스코호텔 부근),8,10,0,2,7,126.489862154816,33.482338383111,2017
52,제주특별자치도 제주시 용담이동(먹돌새기 부근),7,14,0,5,8,126.508501928023,33.506024330559,2017
53,제주특별자치도 제주시 용담이동(용문로타리서측 부근),7,9,0,4,4,126.510770216074,33.508968264874,2017
54,제주특별자치도 제주시 이도이동(구간전사거리 부근),7,8,0,4,4,126.530358461975,33.498369619663,2017
55,제주특별자치도 제주시 이도일동(중앙로1 부근),7,10,0,2,8,126.524399427293,33.511273408942,2017
56,서울특별시 강동구 상일동(HTH택배앞 인근),5,13,0,0,12,127.182591266875,37.542259081592,2018
57,대구광역시 서구 상리동(상리동종점 인근),4,6,0,0,6,128.525936958225,35.884897544887,2018
58,인천광역시 계양구 용종동(계양IC남측본선 부근),5,5,0,0,5,126.749807775709,37.540735318881,2018
59,경기도 고양시 덕양구 원흥동(원흥주유소앞 부근),4,11,1,2,8,126.869249819525,37.637435343667,2018
60,경기도 구리시 수택동(구리TG 부근),7,10,0,1,9,127.157546943837,37.590321323971,2018
61,경기도 김포시 고촌읍(신곡리9525 부근),6,15,0,0,15,126.767749051778,37.592782998637,2018
62,경기도 남양주시 진건읍(양주골화로구이앞 부근),5,15,0,4,11,127.172086100794,37.658495190701,2018
63,경기도 남양주시 오남읍(진주아파트 부근),5,9,0,3,6,127.212387400759,37.688741053058,2018
64,경기도 남양주시 화도읍(중흥S클래식빌앞 부근),5,10,0,1,9,127.301901395434,37.657991448048,2018
65,경기도 남양주시 이패동(한성수출포장 부근),5,18,0,0,17,127.188530164836,37.608749581129,2018
66,경기도 성남시 분당구 분당동(정자지하차도1 부근),9,41,0,7,29,127.10315279077,37.361745165808,2018
67,경기도 성남시 분당구 삼평동(판교JC남측경부선본선 부근),6,6,0,0,6,127.097275442409,37.402846199593,2018
68,경기도 성남시 분당구 궁내동(정자지하차도앞 부근),5,13,0,4,9,127.103759242296,37.366677756574,2018
69,경기도 성남시 분당구 삼평동(금토교 인근),5,8,0,1,6,127.094651521951,37.405846024975,2018
70,경기도 성남시 수정구 금토동(옛골토성 인근),5,42,0,6,34,127.066501463972,37.433537271329,2018
71,경기도 수원시 영통구 망포동(동수원IC남측본선 부근),4,7,0,1,5,127.047605875911,37.301261135694,2018
72,경기도 수원시 팔달구 매산로1가(수원역남단교차로 부근),4,4,0,0,4,127.0010793941,37.266046105344,2018
73,경기도 안산시 단원구 고잔동(중앙역사거리 부근),4,6,0,1,5,126.836897526401,37.316700280195,2018
74,경기도 안산시 단원구 와동(화랑초교사거리 부근),4,8,0,0,7,126.817556014,37.33142696918,2018
75,경기도 안산시 상록구 부곡동(안산JC서측영동선본선 부근),4,17,0,1,12,126.854982319879,37.345820981854,2018
76,경기도 안성시 공도읍(안성IC남측본선 부근),4,24,0,9,15,127.15564730498,36.990528026248,2018
77,경기도 오산시 원동(오산IC남측본선 부근),4,9,0,3,4,127.085303422716,37.14082332104,2018
78,경기도 용인시 기흥구 보라동(상갈신도시주유소앞 부근),6,10,0,0,8,127.103722781083,37.2598855218,2018
79,경기도 용인시 기흥구 공세동(만도중앙연구소앞 부근),4,28,0,6,11,127.104950486976,37.227560911608,2018
80,경기도 용인시 기흥구 보정동(평가선교원앞 부근),4,16,0,4,12,127.103981149112,37.252108220719,2018
81,경기도 용인시 기흥구 상갈동(수원IC북측본선 부근),4,11,0,3,8,127.103646325219,37.267804037128,2018
82,경기도 용인시 처인구 김량장동(용인중교앞 부근),4,6,0,2,4,127.203426329263,37.23661009598,2018
83,경기도 의왕시 내손동(계원조형예술전문대학 부근),4,6,0,1,4,126.982223181955,37.381044810271,2018
84,경기도 파주시 법원읍(현대당구클럽 부근),4,10,0,1,8,126.8729963538,37.849273524954,2018
85,경기도 평택시 월곡동(안성JC남측경부선본선 부근),6,18,0,2,11,127.141571853759,37.025335911024,2018
86,경기도 포천시 소흘읍(부인터사거리 부근),6,9,0,1,7,127.131939058842,37.8054642179,2018
87,경기도 하남시 상산곡동(천현교 부근),4,7,0,2,5,127.221668262182,37.51763877541,2018
88,경기도 화성시 향남읍(제암삼거리 부근),4,4,0,3,1,126.905223501764,37.125543812498,2018
89,경기도 화성시 동탄면(동탄4동1 부근),4,15,0,1,13,127.094514951805,37.199645207961,2018
90,경기도 화성시 팔탄면(한국도로공사 화성지사 부근),4,11,0,1,9,126.883980498802,37.118647712123,2018
91,강원도 강릉시 성산면(강릉요금소 부근),4,7,0,3,4,128.84702211428,37.746595310826,2018
92,강원도 원주시 단계동(발리이용원 부근),4,8,0,1,7,127.932338626028,37.343800435443,2018
93,강원도 철원군 갈말읍(6.25참전기념비 부근),4,10,0,1,9,127.307529435536,38.184432561115,2018
94,강원도 평창군 봉평면(국립횡성 숲체원 인근),4,14,0,1,13,128.29216451728,37.532823257988,2018
95,충청북도 진천군 문백면(백곡천교 부근),4,14,0,1,13,127.494011072554,36.837940266931,2018
96,충청남도 천안시 동남구 신부동(천안IC 부근),4,8,0,3,5,127.166947190262,36.826425578579,2018
97,전라남도 영광군 영광읍(만곡사거리 부근),4,8,0,1,7,126.458640829312,35.284861709901,2018
98,경상북도 경산시 중산동(중산삼거리 부근),4,8,0,2,6,128.722414842172,35.835032863277,2018
99,경상북도 경산시 하양읍(경동정보대2 부근),4,5,0,0,5,128.803782328093,35.900792411841,2018
100,경상북도 고령군 성산면(기족리노인회관 부근),4,19,2,8,9,128.343187595832,35.749269653073,2018
101,경상남도 거창군 거창읍(거창IC입구서측 부근),4,5,0,1,4,127.926525286014,35.676938985846,2018
102,경상남도 함안군 칠원읍(신동세창종합식품기계 부근),4,16,0,5,11,128.541280939165,35.288198494166,2018
103,제주특별자치도 서귀포시 서홍동(한남투자 부근),9,15,0,6,6,126.561279356358,33.252511138479,2018
104,제주특별자치도 제주시 일도이동(인제사거리 부근),9,15,0,4,10,126.540512194583,33.507146735734,2018
105,제주특별자치도 제주시 노형동(노형오거리 부근),8,12,0,5,6,126.479669266624,33.486029377954,2018
106,제주특별자치도 제주시 용담이동(공항입구1 부근),8,12,0,4,5,126.49658213286,33.505524302106,2018
107,제주특별자치도 제주시 연동(코레스코호텔 부근),8,10,0,2,7,126.489862154816,33.482338383111,2018
108,제주특별자치도 제주시 용담이동(먹돌새기 부근),7,14,0,5,8,126.508501928023,33.506024330559,2018
109,제주특별자치도 제주시 용담이동(용문로타리서측 부근),7,9,0,4,4,126.510770216074,33.508968264874,2018
110,제주특별자치도 제주시 이도이동(구간전사거리 부근),7,8,0,4,4,126.530358461975,33.498369619663,2018
111,제주특별자치도 제주시 이도일동(중앙로1 부근),7,10,0,2,8,126.524399427293,33.511273408942,2018
112,서울특별시 강동구 상일동(상일IC남측외곽순환선 인근),5,11,0,0,9,127.182431147081,37.542646234337,2018
113,서울특별시 서초구 원지동(양재IC2 부근),4,13,0,2,6,127.041891499994,37.461756395442,2018
114,경기도 구리시 토평동(구리TG 부근),5,6,0,1,5,127.157831768123,37.589961610441,2018
115,경기도 김포시 고촌읍(신곡리9525 부근),4,9,0,0,9,126.767781117106,37.593556541502,2018
116,경기도 남양주시 진건읍(지용교차로진관교 부근),6,15,0,3,12,127.172029255547,37.658531086242,2018
117,경기도 남양주시 와부읍(남양주TG 부근),6,23,0,0,23,127.241987745939,37.597683813658,2018
118,경기도 남양주시 평내동(샤르망메디칼프라자앞 부근),5,5,1,4,0,127.243539548612,37.653804942045,2018
119,경기도 남양주시 호평동(대성가구전시장앞 부근),5,10,0,4,6,127.243757454344,37.656374235883,2018
120,경기도 남양주시 오남읍(GS25 (오남점) 부근),5,9,0,2,7,127.212724912726,37.689453931255,2018
121,경기도 남양주시 금곡동(우리마트앞 부근),5,5,0,2,3,127.20723748882,37.63404414772,2018
122,경기도 성남시 분당구 금곡동(정자지하차도 부근),8,37,0,6,28,127.103440840923,37.360655459982,2018
123,경기도 성남시 분당구 삼평동(금토교 인근),6,10,0,1,7,127.094651521951,37.405846024975,2018
124,경기도 성남시 분당구 삼평동(판교JC남측경부선본선 부근),4,6,1,0,5,127.098092984605,37.402091825778,2018
125,경기도 성남시 분당구 궁내동(정자지하차도앞 부근),4,9,0,3,4,127.103830554937,37.366001959224,2018
126,경기도 수원시 권선구 서둔동(수원고가도로교앞 부근),4,4,0,0,4,126.995956365595,37.261373215402,2018
127,경기도 수원시 영통구 이의동(동수원IC동측본선 부근),4,5,0,2,3,127.051454350139,37.299229629245,2018
128,경기도 수원시 장안구 하광교동(동수원IC남측본선 부근),4,10,0,1,3,127.047605875911,37.301261135694,2018
129,경기도 수원시 팔달구 매산로1가(육교사거리 부근),4,16,0,2,12,126.998651372064,37.269929865372,2018
130,경기도 수원시 팔달구 매산로1가(수원역북단교차로 부근),4,4,0,1,3,127.000451604359,37.267179213351,2018
131,경기도 수원시 팔달구 매산로1가(수원역남단교차로 부근),4,4,0,0,4,127.001308044032,37.265578344566,2018
132,경기도 안산시 단원구 고잔동(중앙역사거리 부근),5,7,1,1,4,126.836897526401,37.316700280195,2018
133,경기도 안산시 단원구 초지동(화랑초교사거리 부근),5,9,0,0,8,126.817556014,37.33142696918,2018
134,경기도 안산시 상록구 부곡동(안산JC서측영동선본선 부근),4,17,0,1,12,126.854982319879,37.345820981854,2018
135,경기도 안성시 공도읍(안성JC남측경부선본선 부근),5,19,0,0,17,127.141193292238,37.026703144036,2018
136,경기도 여주시 가남읍(여주휴게소 인근),4,5,0,1,4,127.569529519873,37.239575120297,2018
137,경기도 용인시 기흥구 고매동(현대자동차앞 부근),5,15,0,1,13,127.103729294872,37.254121103107,2018
138,경기도 용인시 기흥구 보정동(평가선교원앞 부근),4,16,0,4,12,127.103981149112,37.252108220719,2018
139,경기도 용인시 기흥구 보라동(상갈신도시주유소앞 부근),4,4,0,0,2,127.10390036571,37.260215126028,2018
140,경기도 용인시 수지구 풍덕천동(소방서입구 부근),4,8,0,0,8,127.102920165834,37.326581367137,2018
141,경기도 의왕시 내손동(계원조형예술전문대학 부근),5,10,0,1,8,126.982223181955,37.381044810271,2018
142,경기도 의왕시 오전동(의왕TG 부근),4,5,0,1,4,126.984099783779,37.34782822999,2018
143,경기도 파주시 야동동(무명4거리 부근),4,5,0,1,4,126.764918982426,37.768441703123,2018
144,경기도 포천시 소흘읍(어하터널앞교차로 부근),4,7,0,1,6,127.130904878059,37.805551113994,2018
145,경기도 포천시 선단동(뼈다귀촌 부근),4,5,0,0,3,127.166594022897,37.85433740235,2018
146,경기도 하남시 상산곡동(천현교 부근),4,8,0,1,7,127.220729388851,37.517541014607,2018
147,경기도 화성시 방교동(동탄4동1 부근),4,8,0,4,3,127.094392117004,37.198593747604,2018
148,경기도 화성시 팔탄면(축사 부근),4,11,0,1,9,126.883980498802,37.118647712123,2018
149,강원도 원주시 단계동(첼로모텔 부근),5,7,0,1,6,127.931324512717,37.344146664538,2018
150,강원도 춘천시 남면(발산4터널 부근),4,15,0,0,15,127.644774460874,37.74034644983,2018
151,충청북도 진천군 진천읍(백곡천교 부근),5,19,0,1,18,127.494011072554,36.837940266931,2018
152,충청남도 논산시 가야곡면(야촌사거리 부근),4,11,0,4,7,127.154597498477,36.133022731315,2018
153,충청남도 천안시 동남구 신부동(천안IC 부근),4,6,0,3,3,127.167350019988,36.826623226182,2018
154,전라남도 영광군 군서면(만곡사거리 부근),4,8,0,2,6,126.458552637296,35.284878983179,2018
155,경상남도 창녕군 창녕읍(창녕읍술정리3151 부근),4,4,0,3,1,128.492394084121,35.540112258175,2018
156,제주특별자치도 서귀포시 서귀동(중앙로타리 부근),8,17,0,2,6,126.560985878796,33.253152015154,2018
157,제주특별자치도 제주시 일도이동(인제사거리 부근),9,15,0,4,10,126.540329289566,33.507525926781,2018
