id,address,occur,death_injury,death,s_injury,l_injury,lot,lat,year
0,서울특별시 강남구 논현동(신논현역 부근),10,11,1,4,6,127.022488978485,37.504196787752,2017
1,서울특별시 강남구 역삼동(현대해상강남타워 부근),7,9,1,5,2,127.034122749666,37.500078966572,2017
2,서울특별시 강남구 논현동(사진박물관 부근),5,6,0,3,3,127.024630990929,37.51839779872,2017
3,서울특별시 강남구 대치동(은마아파트입구교차로 부근),4,4,0,2,2,127.059729427772,37.501249795742,2017
4,서울특별시 강남구 대치동(한나라한의원 부근),4,4,0,2,2,127.053050880595,37.505835636706,2017
5,서울특별시 강동구 길동(길동사거리 부근),6,7,1,3,3,127.138747395277,37.534090459408,2017
6,서울특별시 강동구 천호동(천호역 3번출구 부근),6,6,0,2,4,127.12402271088,37.540196082684,2017
7,서울특별시 강북구 미아동(삼양사거리역 부근),10,10,0,7,3,127.020453559086,37.621449048935,2017
8,서울특별시 강북구 번동(수유역 2번출구 부근),7,9,0,5,4,127.026663857152,37.637939056643,2017
9,서울특별시 강북구 수유동(광산사거리 부근),6,6,0,3,2,127.023555302836,37.642404687028,2017
10,서울특별시 강서구 화곡동(까치산역 부근),5,5,0,2,3,126.847094799686,37.531048212106,2017
11,서울특별시 관악구 신림동(구로전화국사거리 부근),9,11,1,4,5,126.904302587895,37.479593530918,2017
12,서울특별시 관악구 신림동(삼성전자서비스 신림휴대폰센터 부근),7,7,1,3,3,126.928633345653,37.488005527634,2017
13,서울특별시 관악구 신림동(난곡양지한의원 부근),5,5,0,4,1,126.91890401391,37.473461526929,2017
14,서울특별시 광진구 중곡동(용마사거리 부근),6,7,0,5,2,127.082136189435,37.562330231056,2017
15,서울특별시 구로구 구로동(남구로역교차로 부근),7,7,1,4,2,126.885805562278,37.48610745,2017
16,서울특별시 구로구 구로동(24시 지구촌동물메디컬센터 부근),6,7,1,3,2,126.883620041533,37.499855242227,2017
17,서울특별시 구로구 구로동(로제리움2차주상복합 부근),6,7,0,3,3,126.89116703703,37.496796914147,2017
18,서울특별시 구로구 개봉동(개봉1동사거리 부근),5,5,1,2,2,126.846860953471,37.501802558642,2017
19,서울특별시 구로구 신도림동(홈플러스 신도림점 앞 부근),5,6,0,2,4,126.889368849794,37.509969450531,2017
20,서울특별시 구로구 구로동(구로파출소앞교차로 부근),5,5,0,2,3,126.883463166493,37.493508143787,2017
21,서울특별시 금천구 독산동(독산4동사거리 부근),6,7,0,1,5,126.901946844372,37.4666171007,2017
22,서울특별시 금천구 독산동(생기한의원 부근),5,8,0,1,6,126.895206956237,37.466561858944,2017
23,서울특별시 금천구 독산동(독산사거리 부근),4,4,0,4,0,126.898260997248,37.471296719369,2017
24,서울특별시 노원구 상계동(노원역 7호선 부근),6,6,0,4,2,127.06122474043,37.654514922626,2017
25,서울특별시 노원구 중계동(중계그린아파트교차로 부근),5,5,0,2,1,127.063284701429,37.64040424586,2017
26,서울특별시 노원구 상계동(상계중앙시장 부근),4,4,0,0,2,127.070988310263,37.658828804107,2017
27,서울특별시 도봉구 창동(창2동우편취급국 부근),7,7,0,4,2,127.03885358023,37.639712732857,2017
28,서울특별시 도봉구 창동(창동주공1단지아파트 정류장 부근),5,5,0,4,1,127.041056518145,37.655138032295,2017
29,서울특별시 동대문구 신설동(신설동역오거리 부근),10,10,0,4,4,127.022953632106,37.575529631988,2017
30,서울특별시 동대문구 청량리동(KB국민은행 홍릉지점 부근),7,7,0,5,2,127.041387599059,37.58658663017,2017
31,서울특별시 동대문구 제기동(청량리역 1호선 부근),7,7,0,3,4,127.043491348948,37.579732064084,2017
32,서울특별시 동대문구 휘경동(회기역 1번출구 부근),5,6,0,4,1,127.056801581429,37.590180195161,2017
33,서울특별시 동대문구 장안동(장한평역 부근),5,5,0,3,1,127.064577494857,37.561509644655,2017
34,서울특별시 동대문구 제기동(제기사거리 부근),5,5,0,2,3,127.038092320305,37.582936293676,2017
35,서울특별시 동대문구 답십리동(답십리성당 부근),4,5,0,4,1,127.05610264812,37.567262311008,2017
36,서울특별시 동대문구 이문동(CNJ오피스텔 부근),4,4,0,3,1,127.062117342742,37.59981251074,2017
37,서울특별시 동작구 대방동(해군회관앞 부근),5,5,0,3,2,126.921729526398,37.503809597236,2017
38,서울특별시 동작구 대방동(CU 신대방덕우점 부근),4,4,0,1,2,126.923649139198,37.498303346923,2017
39,서울특별시 동작구 사당동(총신대입구역 부근),7,7,0,3,4,126.982347209257,37.487997618996,2017
40,서울특별시 마포구 성산동(홍대입구역 2호선 부근),6,6,0,1,5,126.923835143278,37.557215115686,2017
41,서울특별시 마포구 노고산동(신촌로터리 부근),5,5,0,5,0,126.936605621553,37.555446542225,2017
42,서울특별시 마포구 상수동(당인리사거리 부근),5,5,0,2,2,126.919317143572,37.548011358538,2017
43,서울특별시 서대문구 홍제동(에코LG인테리어 부근),7,9,1,2,6,126.946707063981,37.592597685236,2017
44,서울특별시 서대문구 연희동(홍연아파트입구 부근),5,5,0,4,1,126.932306656228,37.577363560081,2017
45,서울특별시 서대문구 대현동(신촌기차역입구교차로 부근),5,5,0,2,3,126.942946699032,37.556765370127,2017
46,서울특별시 서초구 잠원동(신사역 부근),6,8,1,3,1,127.019166376528,37.515964043507,2017
47,서울특별시 서초구 양재동(양재역 신분당선 부근),5,5,0,4,1,127.035109331132,37.483886913251,2017
48,서울특별시 서초구 방배동(사당역 부근),8,9,1,2,6,126.982338984058,37.476860341033,2017
49,서울특별시 성북구 정릉동(정릉역 2번출구 부근),6,7,0,1,6,127.01325653836,37.602669810664,2017
50,서울특별시 성북구 장위동(우리은행 장위동지점 부근),7,7,0,3,4,127.043226280969,37.61383791379,2017
51,서울특별시 성북구 석관동(석현교회 부근),4,4,0,3,1,127.064373541207,37.609212864183,2017
52,서울특별시 성북구 종암동(종암사거리 부근),4,4,0,0,4,127.031803484444,37.603238426813,2017
53,서울특별시 송파구 가락동(가락시장역 3호선 부근),5,6,0,4,2,127.117338467397,37.492506133552,2017
54,서울특별시 송파구 잠실동(크래프트한스 신천점 부근),5,5,0,0,4,127.080952933432,37.510795581252,2017
55,서울특별시 송파구 가락동(개롱역 부근),4,4,1,2,1,127.134891563696,37.497720295756,2017
56,서울특별시 송파구 거여동(거여역종점 정류장 부근),4,4,1,1,2,127.145308260769,37.493497597437,2017
57,서울특별시 송파구 신천동(몽촌토성역 부근),4,4,0,3,1,127.112466864156,37.517839326025,2017
58,서울특별시 양천구 신정동(양강중학교 부근),6,6,0,3,3,126.849938944328,37.525760599573,2017
59,서울특별시 양천구 신정동(신정네거리역 부근),6,6,0,2,4,126.853016918097,37.520034694347,2017
60,서울특별시 양천구 목동(염창역 부근),5,5,0,4,1,126.87295817668,37.546931043434,2017
61,서울특별시 양천구 신정동(이화빌딩 부근),5,5,0,1,3,126.86016669204,37.525476099044,2017
62,서울특별시 양천구 신월동(대호빌라 부근),4,4,0,1,2,126.835519059058,37.521749625945,2017
63,서울특별시 영등포구 영등포동(영등포역 1번출구 부근),8,8,0,5,1,126.907593744157,37.514785158209,2017
64,서울특별시 영등포구 신길동(우신초등학교정문 부근),5,5,2,1,2,126.910741927999,37.510469344086,2017
65,서울특별시 영등포구 여의도동(국회의사당역 1번출구 부근),5,5,0,2,3,126.918978082973,37.530358938415,2017
66,서울특별시 영등포구 문래동3가(서울시립문래청소년수련관 부근),4,4,1,1,2,126.895385989673,37.519829920515,2017
67,서울특별시 영등포구 대림동(형제자동차공업사 부근),4,4,0,4,0,126.896694240648,37.502107017826,2017
68,서울특별시 영등포구 당산동6가(양평동사거리 부근),4,4,0,1,2,126.898006059233,37.535865355103,2017
69,서울특별시 은평구 응암동(응암오거리 부근),7,8,1,6,1,126.917195457605,37.590673063212,2017
70,서울특별시 은평구 응암동(명지전문대학입구 부근),5,5,0,4,1,126.92286315781,37.585410418557,2017
71,서울특별시 은평구 신사동(와산교 부근),4,4,0,3,1,126.913034576885,37.588864975339,2017
72,서울특별시 은평구 갈현동(연신내역 부근),9,9,0,4,3,126.919681232304,37.61800667347,2017
73,서울특별시 은평구 구산동(구산사거리 부근),7,10,0,3,7,126.912147617819,37.61363207606,2017
74,서울특별시 은평구 역촌동(신사오거리 부근),6,9,0,4,5,126.916122980992,37.599606241336,2017
75,서울특별시 은평구 녹번동(대조불광시장교차로 부근),5,5,0,4,1,126.92673386058,37.609224750523,2017
76,서울특별시 은평구 역촌동(경성교회 부근),4,4,0,2,1,126.910381876324,37.604760397176,2017
77,서울특별시 은평구 역촌동(구산역 부근),4,4,0,1,3,126.917272365828,37.611327256649,2017
78,서울특별시 종로구 명륜4가(성균관대입구사거리 부근),4,4,0,2,2,126.998655023312,37.582948225881,2017
79,서울특별시 중구 회현동2가(한국은행본관입구 부근),7,7,0,5,1,126.981285037975,37.561644318132,2017
80,서울특별시 중랑구 면목동(면목역 부근),9,9,0,4,5,127.087447967651,37.588425317475,2017
81,서울특별시 중랑구 면목동(중랑전화국교차로 부근),7,7,1,3,3,127.079160155618,37.590924147632,2017
82,서울특별시 중랑구 중화동(호반닭갈비막국수 중화본점 부근),5,7,0,4,3,127.078023367585,37.601738302781,2017
83,서울특별시 중랑구 면목동(서울스포츠과학관 부근),4,4,0,1,2,127.072947792708,37.591813506989,2017
84,부산광역시 금정구 서동(부산은행 금사공단지점 부근),8,9,0,4,5,129.106428769673,35.214350195806,2017
85,부산광역시 금정구 서동(청도한의원 부근),6,6,0,4,2,129.101461604471,35.215590208023,2017
86,부산광역시 금정구 부곡동(장전역 부근),5,5,0,5,0,129.087923499071,35.23838972071,2017
87,부산광역시 남구 대연동(대연사거리 부근),5,5,0,3,2,129.091852994121,35.135179564786,2017
88,부산광역시 동구 범일동(범일신통한의원 부근),6,6,1,5,0,129.059241341915,35.13940762936,2017
89,부산광역시 동래구 명륜동(안강한의원 부근),5,5,0,3,1,129.083658109935,35.202082844149,2017
90,부산광역시 동래구 온천동(부산온천3동우체국 부근),6,7,0,4,3,129.067326362223,35.205873800436,2017
91,부산광역시 부산진구 부전동(메가박스 서면점 부근),17,19,1,9,8,129.057803327762,35.153808361767,2017
92,부산광역시 북구 화명동(파리바게뜨 화명수정점 부근),4,4,0,2,1,129.008609455863,35.22358968032,2017
93,부산광역시 서구 충무동1가(충무동사거리 부근),6,8,1,5,2,129.024145014882,35.095284250269,2017
94,부산광역시 서구 토성동3가(동의부부한의원 부근),4,4,0,2,2,129.017342277625,35.100506990206,2017
95,부산광역시 연제구 거제동(거제교회 부근),4,4,0,3,1,129.071556934106,35.185705153671,2017
96,부산광역시 중구 남포동5가(시장약국 부근),5,5,0,2,2,129.029566276564,35.097393282775,2017
97,부산광역시 해운대구 좌동(해운대농협하나로마트 본점 부근),4,4,0,2,2,129.175314195295,35.172814986423,2017
98,대구광역시 남구 봉덕동(누리마을감자탕 봉덕점 부근),5,5,0,5,0,128.598505600454,35.84127062574,2017
99,대구광역시 달서구 본동(대구공업대학건너 정류장 부근),6,6,0,4,2,128.544345423104,35.837339416582,2017
100,대구광역시 동구 신천동(동구상가아파트 부근),4,4,0,3,1,128.628300653354,35.873728802343,2017
101,대구광역시 북구 노원동3가(노원성당 부근),4,4,0,3,1,128.567013391956,35.892313448907,2017
102,대구광역시 북구 고성동3가(침산새마을금고 고성동지점 부근),4,4,0,2,2,128.585698172634,35.884282029093,2017
103,대구광역시 북구 매천동(춘하추동김치 앞교차로 부근),5,6,0,5,1,128.541930713733,35.904044297407,2017
104,대구광역시 북구 구암동(튼튼한한의원 부근),5,5,0,1,4,128.562004626813,35.941760889155,2017
105,대구광역시 북구 태전동(매천고네거리 부근),4,4,0,3,1,128.54658962821,35.913659497089,2017
