id,address,occur,death_injury,death,s_injury,l_injury,lot,lat,year
0,서울특별시 강남구 논현동(역삼역 인근),57,69,0,17,44,127.036931109384,37.500825074718,2017
1,서울특별시 강남구 논현동(교보타워사거리 인근),49,74,1,11,54,127.024486357461,37.504521276637,2017
2,서울특별시 강남구 논현동(CHA여성의학연구소 인근),44,69,0,12,51,127.033889484413,37.507329308102,2017
3,서울특별시 강동구 천호동(강동성심병원 인근),42,70,1,15,49,127.134290623215,37.535276126493,2017
4,서울특별시 강동구 성내동(길동사거리 인근),41,58,3,19,31,127.138574979952,37.533955264325,2017
5,서울특별시 강동구 천호동(올림픽로천호대로진입 인근),37,57,0,9,43,127.12423098847,37.538359251579,2017
6,서울특별시 강북구 수유동(수유역 인근),69,82,0,18,62,127.025611757378,37.637982653078,2017
7,서울특별시 강북구 수유동(주하이마트 인근),64,88,0,26,57,127.023234097377,37.635284636578,2017
8,서울특별시 강북구 수유동(미아4동지구대 인근),44,86,0,13,66,127.029872754225,37.61645296963,2017
9,서울특별시 강서구 화곡동(우장공원입구 인근),44,64,1,6,54,126.850770435908,37.553116745942,2017
10,서울특별시 강서구 내발산동(화곡사거리 인근),39,53,0,10,38,126.847422927227,37.530612771163,2017
11,서울특별시 강서구 공항동(화곡로공항대로진입1 인근),33,62,0,13,47,126.853497490618,37.555464876704,2017
12,서울특별시 관악구 신림동(신림역 인근),43,55,0,12,36,126.929709286455,37.484269327468,2017
13,서울특별시 관악구 봉천동(서울대입구역 인근),38,49,0,9,38,126.952735419305,37.481266309494,2017
14,서울특별시 관악구 신림동(패션거리입구 인근),34,39,0,13,21,126.928775865715,37.487570767478,2017
15,서울특별시 광진구 화양동(건대입구역 인근),40,53,0,4,45,127.070632480905,37.539920525013,2017
16,서울특별시 광진구 자양동(자양사거리일반국도3호 인근),30,41,0,10,28,127.083425692243,37.537138137716,2017
17,서울특별시 광진구 능동(결혼의집백악관 인근),24,36,0,12,22,127.088442419083,37.553545407795,2017
18,서울특별시 구로구 개봉동(조양빌딩 인근),28,40,0,9,28,126.856054072539,37.493058280416,2017
19,서울특별시 구로구 구로동(구로구청앞 인근),28,33,0,9,22,126.88884754338,37.495268478558,2017
20,서울특별시 구로구 구로동(고척교사거리 인근),27,44,0,9,33,126.871792541094,37.498884740639,2017
21,서울특별시 금천구 시흥동(시흥사거리 인근),39,52,0,15,32,126.900534260349,37.454766680139,2017
22,서울특별시 금천구 독산동(독산사거리 인근),28,58,0,16,40,126.898191824095,37.471441761129,2017
23,서울특별시 금천구 시흥동(소하IC 인근),27,55,1,6,45,126.903109925883,37.438301194246,2017
24,서울특별시 노원구 상계동(노원역일반국도3호선 인근),46,62,0,6,50,127.060545833225,37.654800486154,2017
25,서울특별시 노원구 공릉동(태릉입구 인근),32,51,0,10,40,127.074169905718,37.617153703382,2017
26,서울특별시 노원구 공릉동(서울동아의원 인근),29,46,1,3,38,127.078283051323,37.619263424768,2017
27,서울특별시 도봉구 창동(창동하이마트 인근),30,47,1,13,24,127.052428205298,37.652714182215,2017
28,서울특별시 도봉구 창동(소피아관광호텔 인근),27,41,0,8,28,127.035988175615,37.650672358743,2017
29,서울특별시 도봉구 창동(방학사거리 인근),24,35,0,6,26,127.042466265707,37.662821590745,2017
30,서울특별시 동대문구 청량리동(청량리역홍릉길진입1 인근),51,55,1,19,34,127.045075364438,37.580845363624,2017
31,서울특별시 동대문구 용두동(성심의원고산자로진출 인근),48,66,0,18,45,127.038144267845,37.573607293343,2017
32,서울특별시 동대문구 제기동(경동시장 인근),39,44,0,10,31,127.038327519101,37.578177746007,2017
33,서울특별시 동작구 신대방동(신대방동빌딩 인근),54,71,0,15,52,126.928118869591,37.498555460167,2017
34,서울특별시 동작구 상도1동(상도역 인근),35,49,1,9,31,126.947676367671,37.503189791676,2017
35,서울특별시 동작구 대방동(상도3동주민센터 인근),34,40,0,7,29,126.931177666217,37.49924861893,2017
36,서울특별시 마포구 합정동(합정역 인근),60,94,1,8,79,126.913415969472,37.54922931758,2017
37,서울특별시 마포구 도화동(일진빌딩 인근),42,60,1,6,51,126.947032472871,37.540406372057,2017
38,서울특별시 마포구 도화동(공덕오거리 인근),41,62,0,8,51,126.950985152444,37.543936956626,2017
39,서울특별시 서대문구 홍은동(동신병원연희로진입2 인근),25,31,0,5,23,126.936124276515,37.581420664433,2017
40,서울특별시 서대문구 홍은동(홍은사거리 인근),24,36,0,6,27,126.94143924013,37.591485314696,2017
41,서울특별시 서대문구 냉천동(서대문아트홀일반국도6 인근),23,33,0,7,23,126.966190976833,37.565340527244,2017
42,서울특별시 서초구 염곡동(트럭터미널장군촌 인근),66,114,0,21,87,127.035986055913,37.460676832171,2017
43,서울특별시 서초구 염곡동(염곡사거리 인근),47,80,0,7,65,127.04297676047,37.465701921807,2017
44,서울특별시 서초구 반포동(서초구동작구경계1 인근),36,75,0,7,62,126.984827535863,37.499839401568,2017
45,서울특별시 성동구 행당동(고산자로왕십리로진입 인근),31,47,0,6,31,127.035092495823,37.561539531825,2017
46,서울특별시 성동구 송정동(왕십리길광나룻길진출 인근),28,43,0,13,29,127.044169871244,37.551096761607,2017
47,서울특별시 성동구 행당동(무학여고앞 인근),23,32,0,4,22,127.034011018795,37.558495830319,2017
48,서울특별시 성북구 하월곡동(내부순환로정릉길램프 인근),58,81,1,11,64,127.026152172586,37.604026092631,2017
49,서울특별시 성북구 하월곡동(종암사거리 인근),54,91,0,17,72,127.032205278152,37.603379793943,2017
