"id";"sido";"gugun";"gubun";"Type";"year_code"
0;"서울특별시";"중랑구";2;"신호";16
1;"서울특별시";"도봉구";2;"신호";16
2;"서울특별시";"노원구";2;"신호";16
3;"서울특별시";"서대문구";2;"신호";16
4;"서울특별시";"중구";2;"신호";16
5;"서울특별시";"송파구";2;"신호";17
6;"서울특별시";"관악구";2;"신호";16
7;"서울특별시";"관악구";2;"신호";16
8;"서울특별시";"관악구";2;"신호";16
9;"서울특별시";"중구";2;"신호";16
10;"서울특별시";"중구";2;"신호";16
11;"서울특별시";"송파구";2;"신호";16
12;"서울특별시";"송파구";2;"신호";16
13;"서울특별시";"서초구";2;"신호";16
14;"서울특별시";"강서구";2;"신호";16
15;"서울특별시";"강서구";1;"과속";16
16;"서울특별시";"동작구";2;"신호";16
17;"서울특별시";"관악구";1;"과속";16
18;"서울특별시";"관악구";1;"과속";16
19;"서울특별시";"서초구";1;"과속";16
20;"서울특별시";"서초구";1;"과속";16
21;"서울특별시";"은평구";2;"신호";18
22;"서울특별시";"양천구";2;"신호";16
23;"서울특별시";"노원구";2;"신호";16
24;"서울특별시";"서초구";2;"신호";16
25;"서울특별시";"서초구";2;"신호";16
26;"서울특별시";"강남구";2;"신호";16
27;"서울특별시";"강북구";4;"주정차";13
28;"서울특별시";"강북구";4;"주정차";13
29;"서울특별시";"강북구";2;"신호";16
30;"서울특별시";"강서구";2;"신호";16
31;"서울특별시";"광진구";2;"신호";16
32;"서울특별시";"동대문구";2;"신호";16
33;"서울특별시";"동작구";2;"신호";16
34;"서울특별시";"마포구";2;"신호";16
35;"서울특별시";"동대문구";2;"신호";16
36;"서울특별시";"송파구";2;"신호";16
37;"서울특별시";"강남구";2;"신호";16
38;"서울특별시";"양천구";2;"신호";16
39;"서울특별시";"은평구";2;"신호";16
40;"서울특별시";"종로구";2;"신호";16
41;"서울특별시";"강북구";4;"주정차";20
42;"서울특별시";"강북구";4;"주정차";20
43;"서울특별시";"강북구";4;"주정차";20
44;"서울특별시";"강북구";4;"주정차";13
45;"서울특별시";"강북구";4;"주정차";13
46;"서울특별시";"강북구";4;"주정차";13
47;"서울특별시";"강북구";4;"주정차";13
48;"서울특별시";"강북구";4;"주정차";13
49;"서울특별시";"강북구";4;"주정차";13
50;"서울특별시";"강북구";4;"주정차";13
51;"서울특별시";"강북구";4;"주정차";13
52;"서울특별시";"강북구";4;"주정차";13
53;"서울특별시";"강북구";4;"주정차";13
54;"서울특별시";"강북구";4;"주정차";13
55;"서울특별시";"강북구";4;"주정차";13
56;"서울특별시";"강북구";4;"주정차";13
57;"서울특별시";"강북구";4;"주정차";13
58;"서울특별시";"강북구";4;"주정차";13
59;"서울특별시";"강북구";4;"주정차";13
60;"서울특별시";"강북구";4;"주정차";13
61;"서울특별시";"강북구";4;"주정차";13
62;"서울특별시";"강북구";4;"주정차";18
63;"서울특별시";"강북구";4;"주정차";18
64;"서울특별시";"강북구";4;"주정차";18
65;"서울특별시";"강북구";4;"주정차";18
66;"서울특별시";"강북구";4;"주정차";18
67;"서울특별시";"강북구";4;"주정차";20
68;"서울특별시";"강북구";4;"주정차";20
69;"서울특별시";"강북구";4;"주정차";20
70;"서울특별시";"강북구";4;"주정차";13
71;"서울특별시";"강북구";4;"주정차";13
72;"서울특별시";"강북구";4;"주정차";13
73;"서울특별시";"강북구";4;"주정차";13
74;"서울특별시";"강북구";4;"주정차";13
75;"서울특별시";"강북구";4;"주정차";13
76;"서울특별시";"강북구";4;"주정차";13
77;"서울특별시";"강북구";4;"주정차";13
78;"서울특별시";"강북구";4;"주정차";13
79;"서울특별시";"강북구";4;"주정차";13
80;"서울특별시";"강북구";4;"주정차";13
81;"서울특별시";"강북구";4;"주정차";13
82;"서울특별시";"강북구";4;"주정차";13
83;"서울특별시";"강북구";4;"주정차";13
84;"서울특별시";"강서구";2;"신호";16
85;"서울특별시";"강서구";2;"신호";16
