id,address,occur,death_injury,death,s_injury,l_injury,lot,lat,year
0,서울특별시 강남구 자곡동(자곡초교 부근),2,2,0,1,1,127.099631462023,37.473004568807,2017
1,서울특별시 강남구 도곡동(언주초교 부근),2,2,0,1,1,127.037893304833,37.486708581137,2017
2,서울특별시 강남구 대치동(대치초교 부근),2,2,0,0,2,127.060560926547,37.490218082899,2017
3,서울특별시 강동구 암사동(보람나무어린이집 부근),1,1,1,0,0,127.135050591713,37.551808377156,2017
4,서울특별시 강서구 마곡동(공항초교 부근),2,2,0,0,2,126.819172856543,37.562594898836,2017
5,서울특별시 구로구 구로동(구일초교 부근),2,2,0,0,1,126.872986970274,37.493258462309,2017
6,부산광역시 동래구 온천동(온천초교 부근),2,2,0,0,2,129.073597093832,35.213028411833,2017
7,부산광역시 부산진구 양정동(양정초교 부근),2,2,0,0,2,129.070937889373,35.174368322441,2017
8,대구광역시 남구 봉덕동(봉덕초교 부근),2,2,0,1,1,128.598393330889,35.840071162155,2017
9,대구광역시 북구 동천동(함지초교 부근),3,3,0,1,2,128.55869730254,35.934848130638,2017
10,인천광역시 부평구 산곡동(부곡초교 부근),2,2,0,2,0,126.708614547924,37.503430327049,2017
11,인천광역시 부평구 부평동(부원초교 부근),2,2,0,1,1,126.718762914278,37.503434789485,2017
12,인천광역시 서구 연희동(청라초교 부근),2,2,0,1,1,126.655016412678,37.538000190058,2017
13,광주광역시 광산구 신창동(신창초교 부근),2,2,0,1,1,126.840330874471,35.19874472529,2017
14,광주광역시 남구 주월동(장산초교 부근),2,2,0,1,1,126.895015277434,35.130163706691,2017
15,광주광역시 북구 오치동(오정초교 부근),1,1,1,0,0,126.911560132095,35.184936815183,2017
16,대전광역시 동구 용운동(푸른숲어린이집 부근),1,1,1,0,0,127.452365766368,36.327517865558,2017
17,대전광역시 동구 가양동(동대전초교 부근),1,1,1,0,0,127.448041228821,36.35209823015,2017
18,대전광역시 서구 갈마동(깨비나라어린이집 부근),2,2,0,0,2,127.36626781321,36.35206624846,2017
19,경기도 구리시 인창동(동인초교 부근),2,2,0,1,1,127.133115238978,37.610915785336,2017
20,경기도 부천시 범박동(범박초교 부근),2,2,0,1,1,126.809341061442,37.470243513428,2017
21,경기도 성남시 중원구 은행동(중부초교 부근),1,1,1,0,0,127.165031940972,37.450731226965,2017
22,경기도 시흥시 정왕동(보람유치원 부근),1,1,1,0,0,126.754218608603,37.342912826167,2017
23,경기도 안산시 단원구 선부동(석수초교 부근),2,2,0,2,0,126.805472099759,37.34431840627,2017
24,경기도 안산시 단원구 와동(덕인초교 부근),2,2,0,0,2,126.823144531596,37.340281280358,2017
25,경기도 안산시 상록구 본오동(본원초교 부근),3,3,0,1,2,126.86300000165,37.291460766502,2017
26,강원도 동해시 쇄운동(청운초교 부근),2,2,0,0,2,129.104527403218,37.485666918894,2017
27,충청북도 청주시 서원구 분평동(남평초교 부근),2,2,0,1,1,127.488768705812,36.611678489771,2017
28,충청북도 청주시 흥덕구 복대동(복대초교 부근),2,2,0,1,1,127.448035501039,36.628390054458,2017
29,충청북도 청주시 흥덕구 봉명동(봉명초교 부근),2,2,0,0,2,127.457346554501,36.639040449358,2017
30,충청북도 청주시 흥덕구 옥산면(옥산초교 부근),1,1,1,0,0,127.376321114929,36.664231859214,2017
31,충청남도 서산시 고북면(고북초교 부근),1,1,1,0,0,126.532039777815,36.667685174932,2017
32,전라북도 익산시 모현동1가(이리모현초교 부근),2,2,0,0,2,126.939347861316,35.945880088097,2017
33,전라북도 정읍시 상동(한솔초교 부근),2,2,0,1,1,126.872136544367,35.561243300939,2017
34,전라남도 목포시 연산동(서해초교 부근),4,4,0,1,3,126.381191625694,34.810862783092,2017
