id,주차장 종류명,운영구분명,유무료구분명,야간무료개방여부명,sido,gugun,address
0,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,구로구,구로동414-13
1,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,구로구,구로동414-13
2,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,구로구,구로동414-13
3,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,구로구,구로동414-13
4,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,구로구,구로동414-13
5,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,구로구,구로동414-13
6,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,구로구,구로동414-13
7,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,구로구,구로동414-13
8,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,구로구,구로동414-13
9,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,구로구,구로동414-13
10,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,구로구,구로동414-13
11,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,구로구,구로동414-13
12,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,구로구,구로동414-13
13,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,구로구,구로동414-13
14,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,구로구,구로동414-13
15,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,구로구,구로동414-13
16,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,구로구,구로동414-13
17,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,구로구,구로동414-13
18,노외 주차장,시간제 주차장,유료,야간 미개방,서울특별시,구로구,개봉동416-2
19,노외 주차장,시간제 주차장,유료,야간 미개방,서울특별시,구로구,개봉동134-8
20,노외 주차장,시간제 주차장,유료,야간 미개방,서울특별시,강서구,개화동664-0
21,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
22,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
23,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
24,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
25,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
26,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
27,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
28,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
29,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
30,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
31,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
32,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
33,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
34,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
35,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
36,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
37,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
38,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
39,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
40,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
41,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
42,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
43,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
44,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
45,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
46,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
47,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
48,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
49,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
50,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
51,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
52,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
53,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
54,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
55,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
56,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
57,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
58,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
59,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동691-3
60,노외 주차장,시간제 주차장,유료,야간 미개방,서울특별시,강동구,강일동292-2
61,노외 주차장,시간제 주차장,유료,야간 미개방,서울특별시,양천구,목동919-5
62,노외 주차장,시간제 주차장,유료,야간 미개방,서울특별시,강서구,화곡동662-15
63,노외 주차장,시간제 주차장,유료,야간 미개방,서울특별시,동대문구,휘경동361-0
64,노상 주차장,버스전용 주차장,무료,야간 미개방,서울특별시,중구,신당동222-3
65,노상 주차장,버스전용 주차장,무료,야간 미개방,서울특별시,중구,신당동222-3
66,노상 주차장,버스전용 주차장,무료,야간 미개방,서울특별시,중구,신당동222-3
67,노상 주차장,버스전용 주차장,무료,야간 미개방,서울특별시,중구,신당동222-3
68,노외 주차장,시간제 주차장,유료,야간 미개방,서울특별시,구로구,고척동9-14
69,노외 주차장,시간제 주차장,유료,야간 미개방,서울특별시,금천구,가산동505-3
70,노외 주차장,시간제 + 거주자 주차장,유료,야간 미개방,서울특별시,노원구,하계동252-6
71,노외 주차장,시간제 주차장,유료,야간 미개방,서울특별시,영등포구,신길동69-39
72,노외 주차장,시간제 주차장,유료,야간 미개방,서울특별시,성북구,삼선동3가43-1
73,노상 주차장,이륜차 전용 주차장,무료,야간 미개방,서울특별시,종로구,내자동67-2
74,노상 주차장,이륜차 전용 주차장,무료,야간 미개방,서울특별시,종로구,내자동67-2
75,노상 주차장,이륜차 전용 주차장,무료,야간 미개방,서울특별시,종로구,내자동67-2
76,노상 주차장,이륜차 전용 주차장,무료,야간 미개방,서울특별시,종로구,내자동67-2
77,노상 주차장,이륜차 전용 주차장,무료,야간 미개방,서울특별시,종로구,내자동67-2
78,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,노원구,공릉동629-1
79,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,노원구,공릉동629-1
80,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,노원구,공릉동629-1
81,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,노원구,공릉동629-1
82,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,노원구,공릉동629-1
83,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,노원구,공릉동629-1
84,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,노원구,공릉동629-1
85,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,노원구,공릉동629-1
86,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,노원구,공릉동629-1
87,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,노원구,공릉동629-1
88,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,노원구,공릉동629-1
89,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,강서구,가양동1485-0
90,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,강서구,가양동1485-0
91,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,강서구,가양동1485-0
92,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,강서구,가양동1485-0
93,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,강서구,가양동1485-0
94,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,강서구,가양동1485-0
95,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,강서구,가양동1485-0
96,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,강서구,가양동1485-0
97,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,강서구,가양동1485-0
98,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,강서구,가양동1485-0
99,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,강서구,가양동1485-0
100,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,강서구,가양동1485-0
101,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,강서구,가양동1485-0
102,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,강서구,가양동1485-0
103,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,강서구,가양동1485-0
104,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,강서구,가양동1485-0
105,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,강서구,가양동1485-0
106,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,강서구,가양동1485-0
107,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,강서구,가양동1485-0
108,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,강서구,가양동1485-0
109,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,강서구,가양동1485-0
110,노상 주차장,시간제 주차장,유료,야간 미개방,서울특별시,강서구,가양동1485-0
