가변전광표지판명,시도명,시군구명,시군구코드,도로종류,도로노선명,도로노선번호,도로노선방향,위도,경도,영상표시면가로길이,영상표시면세로길이,전광판함체가로길이,전광판함체세로길이,전광판높이,설치유형코드,출력방향코드,발광패널유형코드,표출색상,표시유형코드,출력크기,설치연도
주정차단속안내판(스마트CCTV감지기)-주차-001,서울특별시,광진구,11215,구도,아차산로,,,37.5477095,127.106845,2240,320,,,,2,1,1,,2,1단7열,2019
주정차단속안내판(스마트CCTV감지기)-주차-002,서울특별시,광진구,11215,구도,아차산로,,,37.5436034,127.1024311,2240,320,,,,2,1,1,,2,1단7열,2019
주정차단속안내판(스마트CCTV감지기)-주차-003,서울특별시,광진구,11215,구도,능동로,,,37.5520573,127.08948,2240,320,,,,2,1,1,,2,1단7열,2019
주정차단속안내판-주차-004,서울특별시,광진구,11215,구도,군자로,,,37.54891343,127.0707856,2240,320,,,,2,1,1,,2,1단7열,2007
주정차단속안내판(스마트CCTV감지기)-주차-005,서울특별시,광진구,11215,구도,광나루로,,,37.54520037,127.0879805,2240,320,,,,2,1,1,,2,1단7열,2019
주정차단속안내판(스마트CCTV감지기)-주차-006,서울특별시,광진구,11215,구도,자양로,,,37.54601862,127.0862829,2240,320,,,,2,1,1,,2,1단7열,2019
주정차단속안내판(스마트CCTV감지기)-주차-008,서울특별시,광진구,11215,구도,강변역로,,,37.53279221,127.0931221,2240,320,,,,2,1,1,,2,1단7열,2019
주정차단속안내판(스마트CCTV감지기)-주차-009,서울특별시,광진구,11215,구도,강변역로4길,,,37.53512211,127.093133,2240,320,,,,2,1,1,,2,1단7열,2019
주정차단속안내판(스마트CCTV감지기)-주차-010,서울특별시,광진구,11215,구도,광나루로56길,,,37.53784631,127.0963807,2240,320,,,,2,1,1,,2,1단7열,2019
주정차단속안내판(스마트CCTV감지기)-주차-011,서울특별시,광진구,11215,구도,강변역로,,,37.53573933,127.0945536,2240,320,,,,2,1,1,,2,1단7열,2019
