,주소,주차장 종류명,운영구분명,유무료구분명,야간무료개방여부명
0,구로구 구로동 414-13,노상 주차장,시간제 주차장,유료,야간 미개방
1,구로구 구로동 414-13,노상 주차장,시간제 주차장,유료,야간 미개방
2,구로구 구로동 414-13,노상 주차장,시간제 주차장,유료,야간 미개방
3,구로구 구로동 414-13,노상 주차장,시간제 주차장,유료,야간 미개방
4,구로구 구로동 414-13,노상 주차장,시간제 주차장,유료,야간 미개방
5,구로구 구로동 414-13,노상 주차장,시간제 주차장,유료,야간 미개방
6,구로구 구로동 414-13,노상 주차장,시간제 주차장,유료,야간 미개방
7,구로구 구로동 414-13,노상 주차장,시간제 주차장,유료,야간 미개방
8,구로구 구로동 414-13,노상 주차장,시간제 주차장,유료,야간 미개방
9,구로구 구로동 414-13,노상 주차장,시간제 주차장,유료,야간 미개방
10,구로구 구로동 414-13,노상 주차장,시간제 주차장,유료,야간 미개방
11,구로구 구로동 414-13,노상 주차장,시간제 주차장,유료,야간 미개방
12,구로구 구로동 414-13,노상 주차장,시간제 주차장,유료,야간 미개방
13,구로구 구로동 414-13,노상 주차장,시간제 주차장,유료,야간 미개방
14,구로구 구로동 414-13,노상 주차장,시간제 주차장,유료,야간 미개방
15,구로구 구로동 414-13,노상 주차장,시간제 주차장,유료,야간 미개방
16,구로구 구로동 414-13,노상 주차장,시간제 주차장,유료,야간 미개방
17,구로구 구로동 414-13,노상 주차장,시간제 주차장,유료,야간 미개방
18,구로구 개봉동 416-2,노외 주차장,시간제 주차장,유료,야간 미개방
19,구로구 개봉동 134-8,노외 주차장,시간제 주차장,유료,야간 미개방
20,강서구 개화동 664-0,노외 주차장,시간제 주차장,유료,야간 미개방
21,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
22,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
23,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
24,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
25,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
26,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
27,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
28,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
29,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
30,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
31,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
32,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
33,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
34,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
35,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
36,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
37,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
38,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
39,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
40,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
41,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
42,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
43,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
44,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
45,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
46,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
47,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
48,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
49,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
50,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
51,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
52,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
53,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
54,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
55,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
56,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
57,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
58,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
59,금천구 가산동 691-3,노상 주차장,시간제 주차장,유료,야간 미개방
60,강동구 강일동 292-2,노외 주차장,시간제 주차장,유료,야간 미개방
61,양천구 목동 919-5,노외 주차장,시간제 주차장,유료,야간 미개방
62,강서구 화곡동 662-15,노외 주차장,시간제 주차장,유료,야간 미개방
63,동대문구 휘경동 361-0,노외 주차장,시간제 주차장,유료,야간 미개방
64,중구 신당동 222-3,노상 주차장,버스전용 주차장,무료,야간 미개방
65,중구 신당동 222-3,노상 주차장,버스전용 주차장,무료,야간 미개방
66,중구 신당동 222-3,노상 주차장,버스전용 주차장,무료,야간 미개방
67,중구 신당동 222-3,노상 주차장,버스전용 주차장,무료,야간 미개방
68,구로구 고척동 9-14,노외 주차장,시간제 주차장,유료,야간 미개방
69,금천구 가산동 505-3,노외 주차장,시간제 주차장,유료,야간 미개방
70,노원구 하계동 252-6,노외 주차장,시간제 + 거주자 주차장,유료,야간 미개방
71,영등포구 신길동 69-39,노외 주차장,시간제 주차장,유료,야간 미개방
72,성북구 삼선동3가 43-1,노외 주차장,시간제 주차장,유료,야간 미개방
