year,sido,gugun,type
2017.0,서울특별시,관악구,원호형
2017.0,서울특별시,관악구,원호형
2018.0,서울특별시,관악구,원호형
2017.0,서울특별시,관악구,원호형
2017.0,서울특별시,관악구,원호형
2017.0,서울특별시,관악구,원호형
2017.0,서울특별시,관악구,원호형
2017.0,서울특별시,관악구,원호형
2017.0,서울특별시,관악구,원호형
2017.0,서울특별시,관악구,원호형
2018.0,서울특별시,관악구,원호형
2018.0,서울특별시,관악구,원호형
2017.0,서울특별시,관악구,원호형
2017.0,서울특별시,관악구,원호형
2018.0,서울특별시,관악구,원호형
2018.0,서울특별시,관악구,원호형
2018.0,서울특별시,관악구,원호형
2018.0,서울특별시,관악구,원호형
2017.0,서울특별시,관악구,원호형
2017.0,서울특별시,관악구,원호형
2017.0,서울특별시,관악구,원호형
2017.0,서울특별시,관악구,원호형
2018.0,서울특별시,관악구,원호형
2018.0,서울특별시,관악구,가상형
2017.0,서울특별시,관악구,원호형
2018.0,서울특별시,관악구,원호형
2018.0,서울특별시,관악구,원호형
2018.0,서울특별시,관악구,가상형
2017.0,서울특별시,관악구,원호형
2018.0,서울특별시,관악구,원호형
2017.0,서울특별시,관악구,원호형
2017.0,서울특별시,관악구,원호형
2019.0,서울특별시,서초구,원호형
2019.0,서울특별시,서초구,원호형
2019.0,서울특별시,서초구,원호형
2019.0,서울특별시,서초구,원호형
2019.0,서울특별시,서초구,원호형
2019.0,서울특별시,서초구,원호형
2019.0,서울특별시,서초구,원호형
2019.0,서울특별시,서초구,원호형
2019.0,서울특별시,서초구,원호형
2019.0,서울특별시,서초구,원호형
2019.0,서울특별시,서초구,원호형
2019.0,서울특별시,서초구,원호형
2019.0,서울특별시,서초구,원호형
2019.0,서울특별시,서초구,원호형
2019.0,서울특별시,서초구,원호형
2019.0,서울특별시,서초구,원호형
2019.0,서울특별시,서초구,원호형
2019.0,서울특별시,서초구,원호형
2019.0,서울특별시,서초구,원호형
2019.0,서울특별시,서초구,원호형
2019.0,서울특별시,서초구,가상형
2019.0,서울특별시,서초구,원호형
2019.0,서울특별시,서초구,원호형
2019.0,서울특별시,서초구,원호형
2019.0,서울특별시,서초구,원호형
2019.0,서울특별시,서초구,원호형
2019.0,서울특별시,서초구,원호형
2019.0,서울특별시,서초구,원호형
2019.0,서울특별시,서초구,원호형
2019.0,서울특별시,서초구,원호형
2019.0,서울특별시,서초구,가상형
2019.0,서울특별시,서초구,가상형
2020.0,서울특별시,서초구,원호형
2020.0,서울특별시,서초구,원호형
2020.0,서울특별시,서초구,원호형
2020.0,서울특별시,서초구,원호형
2020.0,서울특별시,서초구,원호형
2020.0,서울특별시,서초구,원호형
2020.0,서울특별시,서초구,원호형
2020.0,서울특별시,서초구,원호형
2020.0,서울특별시,서초구,원호형
2020.0,서울특별시,서초구,원호형
2020.0,서울특별시,서초구,원호형
2020.0,서울특별시,서초구,원호형
2020.0,서울특별시,서초구,원호형
2020.0,서울특별시,서초구,원호형
2020.0,서울특별시,서초구,원호형
2020.0,서울특별시,서초구,원호형
2018.0,서울특별시,관악구,원호형
2018.0,서울특별시,관악구,원호형
2017.0,서울특별시,금천구,원호형
2017.0,서울특별시,금천구,원호형
2017.0,서울특별시,금천구,원호형
2017.0,서울특별시,금천구,원호형
2017.0,서울특별시,금천구,원호형
2017.0,서울특별시,금천구,원호형
2017.0,서울특별시,금천구,원호형
2018.0,서울특별시,금천구,원호형
2017.0,서울특별시,금천구,원호형
2018.0,서울특별시,금천구,원호형
2018.0,서울특별시,금천구,원호형
2018.0,서울특별시,금천구,원호형
2018.0,서울특별시,금천구,가상형
2018.0,서울특별시,금천구,원호형
2018.0,서울특별시,금천구,원호형
2018.0,서울특별시,금천구,원호형
2018.0,서울특별시,금천구,원호형
2019.0,서울특별시,금천구,원호형
2019.0,서울특별시,금천구,원호형
2019.0,서울특별시,금천구,원호형
2019.0,서울특별시,금천구,원호형
2019.0,서울특별시,금천구,가상형
2019.0,서울특별시,금천구,원호형
2019.0,서울특별시,금천구,원호형
2019.0,서울특별시,금천구,원호형
2019.0,서울특별시,금천구,원호형
2020.0,서울특별시,금천구,원호형
2020.0,서울특별시,금천구,가상형
2020.0,서울특별시,금천구,가상형
2020.0,서울특별시,금천구,원호형
2020.0,서울특별시,금천구,원호형
2019.0,서울특별시,송파구,원호형
2019.0,서울특별시,송파구,원호형
2019.0,서울특별시,송파구,원호형
2019.0,서울특별시,송파구,원호형
2019.0,서울특별시,송파구,원호형
2019.0,서울특별시,송파구,원호형
2019.0,서울특별시,송파구,원호형
2019.0,서울특별시,송파구,원호형
2019.0,서울특별시,송파구,원호형
2019.0,서울특별시,송파구,원호형
2019.0,서울특별시,송파구,원호형
2019.0,서울특별시,송파구,원호형
2019.0,서울특별시,송파구,원호형
2019.0,서울특별시,송파구,원호형
2019.0,서울특별시,송파구,원호형
2019.0,서울특별시,송파구,원호형
2019.0,서울특별시,송파구,원호형
2019.0,서울특별시,송파구,원호형
2019.0,서울특별시,송파구,원호형
2019.0,서울특별시,송파구,원호형
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,기타
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
2019.0,서울특별시,강서구,원호형
