자치구명,도로명주소,시설명,시설종류,지정년도
종로구,경운동,교동,초등학교,2006
종로구,무악동,독립문,초등학교,2005
종로구,필운동,매동,초등학교,2005
종로구,창신3동,명신,초등학교,1995
종로구,홍지동,상명대부속,초등학교,2006
종로구,동숭동,서울사대부속,초등학교,1995
종로구,신영동,세검정,초등학교,2006
종로구,가회동,재동,초등학교,2005
종로구,창신1동,창신,초등학교,1995
종로구,청운동,청운,초등학교,2005
종로구,운니동,운현,초등학교,2006
종로구,혜화동,혜화,초등학교,1995
종로구,효제동,효제,초등학교,1995
종로구,종로6가,봄샘,유치원,2009
종로구,홍지동,세검정,유치원,2010
종로구,필운동,세종,유치원,2009
종로구,옥인동,옥인,유치원,2007
종로구,숭인1동,청룡,유치원,1995
종로구,운니동,운현,유치원,2006
종로구,혜화동,한아름,유치원,2013
종로구,혜화동,혜화,유치원,1997
종로구,홍지동,상명대부속,유치원,2010
종로구,누하동,배화여대부속,유치원,2005
종로구,창신3동,명신병설,병설유치원,2010
종로구,창신1동,창신병설,병설유치원,1995
종로구,가회동,재동병설,병설유치원,2005
종로구,혜화동,혜화병설,병설유치원,1995
종로구,신교동,서울선희학교(농학교),특수학교,1997
종로구,사직동,수도사랑의학교,특수학교,2006
종로구,신교동,서울맹학교,특수학교,1997
종로구,교남동,하비에르국제학교,외국인학교,2010
종로구,누상동,누상,어린이집,2013
종로구,명륜동,명륜,어린이집,2006
종로구,궁정동,무궁화,어린이집,2010
종로구,신영동,부암,어린이집,2009
종로구,행촌동,상록수,어린이집,2008
종로구,평창동,생명숲,어린이집,2015
종로구,창신3동,아동회관,어린이집,2012
종로구,부암동,엔젤키즈,어린이집,2016
종로구,숭인2동,한빛,어린이집,2012
종로구,청운동,청문,어린이집,2011
종로구,창신3동,은행나무,어린이집,2006
종로구,창성동,정부청사,어린이집,2009
종로구,창신2동,창이,어린이집,2013
종로구,필운동,사직,어린이집,2005
종로구,연지동,연동,어린이집,2008
종로구,수송동,선재,어린이집,2019
종로구,숭인동,도담도담,어린이집,2019
중구,장충동2가,충무,초등학교,1996
중구,청구동,청구,초등학교,1997
중구,신당동,광희,초등학교,2007
중구,신당동,장충,초등학교,1998
