id,gugun,address,sname,stype,year_code,sido
0,종로구,경운동,교동,초등학교,6,서울특별시
1,종로구,무악동,독립문,초등학교,5,서울특별시
2,종로구,필운동,매동,초등학교,5,서울특별시
3,종로구,창신3동,명신,초등학교,95,서울특별시
4,종로구,홍지동,상명대부속,초등학교,6,서울특별시
5,종로구,동숭동,서울사대부속,초등학교,95,서울특별시
6,종로구,신영동,세검정,초등학교,6,서울특별시
7,종로구,가회동,재동,초등학교,5,서울특별시
8,종로구,창신1동,창신,초등학교,95,서울특별시
9,종로구,청운동,청운,초등학교,5,서울특별시
10,종로구,운니동,운현,초등학교,6,서울특별시
11,종로구,혜화동,혜화,초등학교,95,서울특별시
12,종로구,효제동,효제,초등학교,95,서울특별시
13,종로구,종로6가,봄샘,유치원,9,서울특별시
14,종로구,홍지동,세검정,유치원,10,서울특별시
15,종로구,필운동,세종,유치원,9,서울특별시
16,종로구,옥인동,옥인,유치원,7,서울특별시
17,종로구,숭인1동,청룡,유치원,95,서울특별시
18,종로구,운니동,운현,유치원,6,서울특별시
19,종로구,혜화동,한아름,유치원,13,서울특별시
20,종로구,혜화동,혜화,유치원,97,서울특별시
21,종로구,홍지동,상명대부속,유치원,10,서울특별시
22,종로구,누하동,배화여대부속,유치원,5,서울특별시
23,종로구,창신3동,명신병설,병설유치원,10,서울특별시
24,종로구,창신1동,창신병설,병설유치원,95,서울특별시
25,종로구,가회동,재동병설,병설유치원,5,서울특별시
26,종로구,혜화동,혜화병설,병설유치원,95,서울특별시
27,종로구,신교동,서울선희학교(농학교),특수학교,97,서울특별시
28,종로구,사직동,수도사랑의학교,특수학교,6,서울특별시
29,종로구,신교동,서울맹학교,특수학교,97,서울특별시
30,종로구,교남동,하비에르국제학교,외국인학교,10,서울특별시
31,종로구,누상동,누상,어린이집,13,서울특별시
32,종로구,명륜동,명륜,어린이집,6,서울특별시
33,종로구,궁정동,무궁화,어린이집,10,서울특별시
34,종로구,신영동,부암,어린이집,9,서울특별시
35,종로구,행촌동,상록수,어린이집,8,서울특별시
36,종로구,평창동,생명숲,어린이집,15,서울특별시
