스마트가로등유형,시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,위도,경도,스마트가로등형태,점등상태여부,센서종류,센싱정보서비스,CCTV유무,WiFi유무,GPS수신기유무,비콘유무,조명제어여부,위급상황신고가능여부,앱서비스명,앱서비스제공내용,기타서비스,설치연도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
01+02,서울특별시,광진구,천호대로,서울특별시 광진구 천호대로 576,서울특별시 광진구 능동 236-1,37.5558879,127.0818015,1,N,조도센서,,N,N,N,N,Y,N,,,,2020,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,강변역로,서울특별시 광진구 강변역로4길 1,서울특별시 광진구 구의동 547-6,37.53328898,127.0942289,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,광나루로,서울특별시 광진구 광나루로13,서울특별시 광진구 광장동 571-1,37.5410856,127.0966375,1,N,조도센서,,N,N,N,N,Y,N,,,,2020,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,광나루로,서울특별시 광진구 광나루로56길 1,서울특별시 광진구 구의동 631-1,37.53878008,127.0983573,1,N,조도센서,,N,N,N,N,Y,N,,,,2020,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,광나루로,서울특별시 광진구 광나루로56길 2,서울특별시 광진구 구의동 611,37.53814053,127.0966353,1,N,조도센서,,N,N,N,N,Y,N,,,,2020,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,광장로,,서울특별시 광진구 광장동 258-24,37.5472477,127.1023624,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,구의강변로,서울특별시 광진구 구의강변로 1,서울특별시 광진구 구의동 599-8,37.53290898,127.0918725,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,구의강변로,서울특별시 광진구 구의강변로 2,서울특별시 광진구 구의동 604,37.53578131,127.0922422,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,구의강변로,서울특별시 광진구 구의강변로 3,서울특별시 광진구 구의동 610,37.53914351,127.0943108,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,구의강변로,서울특별시 광진구 구의강변로 4,서울특별시 광진구 구의동 217-19,37.53784819,127.0933505,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,구의강변로,서울특별시 광진구 구의강변로 5,서울특별시 광진구 구의동 213-16,37.53873286,127.0939973,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,강변역로,서울특별시 광진구 강변역로4길 1,서울특별시 광진구 구의동 547-6,37.53328898,127.0942289,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,긴고랑로,서울특별시 광진구 긴고랑로 1,서울특별시 광진구 중곡동 247-6,37.56433197,127.0768052,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,긴고랑로,서울특별시 광진구 긴고랑로 10,서울특별시 광진구 중곡동 438-2,37.56377044,127.0774007,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,긴고랑로,서울특별시 광진구 긴고랑로 11,서울특별시 광진구 중곡동 437-1,37.56401913,127.0777866,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,긴고랑로,서울특별시 광진구 긴고랑로 12,서울특별시 광진구 중곡동 143-130,37.56371178,127.0775476,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,긴고랑로,서울특별시 광진구 긴고랑로 2,서울특별시 광진구 중곡동 277-11,37.56393064,127.0767055,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,긴고랑로,서울특별시 광진구 긴고랑로 3,서울특별시 광진구 중곡동 243-2,37.56426825,127.0769763,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,긴고랑로,서울특별시 광진구 긴고랑로 4,서울특별시 광진구 중곡동 277-5,37.5639164,127.0768589,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,긴고랑로,서울특별시 광진구 긴고랑로 5,서울특별시 광진구 중곡동 43-4,37.56420568,127.0771797,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,긴고랑로,서울특별시 광진구 긴고랑로 6,서울특별시 광진구 중곡동 39-51,37.56387792,127.0770014,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,긴고랑로,서울특별시 광진구 긴고랑로 7,서울특별시 광진구 중곡동 150-214,37.56415362,127.0774184,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,긴고랑로,서울특별시 광진구 긴고랑로 8,서울특별시 광진구 중곡동 150-178,37.56381963,127.0772651,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,긴고랑로,서울특별시 광진구 긴고랑로 9,서울특별시 광진구 중곡동 62-69,37.56406695,127.0776831,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,뚝섬로,서울특별시 광진구 뚝섬로34길 2,서울특별시 광진구 자양동 854-2,37.53193183,127.0684539,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,아차산로,서울특별시 광진구 아차산로36길 1,서울특별시 광진구 자양동 227-7,37.5385813,127.0729962,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,아차산로,서울특별시 광진구 아차산로36길 2,서울특별시 광진구 자양동 783-1,37.53707976,127.0741013,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,아차산로,서울특별시 광진구 아차산로70길,서울특별시 광진구 광장동 453-7,37.5420308,127.1017131,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,아차산로,서울특별시 광진구 아차산로70길 2,서울특별시 광진구 광장동 453-1,37.54292631,127.1019038,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
01+02,서울특별시,광진구,아차산로,서울특별시 광진구 아차산로70길 3,서울특별시 광진구 광장동 561-15,37.54073592,127.1029559,1,N,조도센서,,N,N,N,N,Y,N,,,,2021,서울특별시 광진구청,02-450-7872,2022-03-04,3040000,서울특별시 광진구
